日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2010/1/4,'000001,上证指数,3243.76,3295.279,3243.319,3289.75,3277.139,-33.379,-1.0185,109447927,1.34E+11
2010/1/5,'000001,上证指数,3282.179,3290.512,3221.462,3254.468,3243.76,38.419,1.1844,126115066,1.62E+11
2010/1/6,'000001,上证指数,3254.215,3295.868,3253.044,3277.517,3282.179,-27.964,-0.852,123651384,1.58E+11
2010/1/7,'000001,上证指数,3192.776,3268.819,3176.707,3253.991,3254.215,-61.439,-1.888,128652827,1.57E+11
2010/1/8,'000001,上证指数,3195.997,3198.92,3149.017,3177.259,3192.776,3.221,0.1009,98377147,1.22E+11
2010/1/11,'000001,上证指数,3212.75,3306.751,3197.328,3301.611,3195.997,16.753,0.5242,136327216,1.78E+11
2010/1/12,'000001,上证指数,3273.966,3275.202,3180.085,3205.705,3212.75,61.216,1.9054,140655241,1.74E+11
2010/1/13,'000001,上证指数,3172.658,3232.818,3165.485,3204.976,3273.966,-101.308,-3.0944,158344278,1.97E+11
2010/1/14,'000001,上证指数,3215.55,3219.016,3165.596,3183.381,3172.658,42.892,1.3519,135954504,1.68E+11
2010/1/15,'000001,上证指数,3224.152,3241.815,3197.221,3217.19,3215.55,8.602,0.2675,120541135,1.51E+11
2010/1/18,'000001,上证指数,3237.098,3238.242,3202.207,3213.637,3224.152,12.946,0.4015,135067238,1.70E+11
2010/1/19,'000001,上证指数,3246.874,3268.806,3236.839,3242.216,3237.098,9.776,0.302,129943532,1.63E+11
2010/1/20,'000001,上证指数,3151.85,3255.128,3148.334,3252.037,3246.874,-95.024,-2.9266,158243112,1.93E+11
2010/1/21,'000001,上证指数,3158.863,3176.147,3126.902,3154.189,3151.85,7.013,0.2225,114337079,1.42E+11
2010/1/22,'000001,上证指数,3128.588,3147.829,3062.629,3118.724,3158.863,-30.275,-0.9584,137758538,1.64E+11
2010/1/25,'000001,上证指数,3094.411,3136.999,3092.926,3103.32,3128.588,-34.177,-1.0924,78361862,95145982251
2010/1/26,'000001,上证指数,3019.394,3107.198,3001.956,3094.848,3094.411,-75.017,-2.4243,93507092,1.09E+11
2010/1/27,'000001,上证指数,2986.607,3028.647,2972.627,3020.54,3019.394,-32.787,-1.0859,76552214,90324580784
2010/1/28,'000001,上证指数,2994.143,3006.039,2963.891,2985.214,2986.607,7.536,0.2523,73365767,85654271669
2010/1/29,'000001,上证指数,2989.292,3024.848,2968.453,2979.743,2994.143,-4.851,-0.162,80475875,95656890364
2010/2/1,'000001,上证指数,2941.36,2981.374,2912.887,2981.374,2989.292,-47.932,-1.6035,88147114,1.04E+11
2010/2/2,'000001,上证指数,2934.713,2990.748,2930.559,2955.753,2941.36,-6.647,-0.226,82485789,97685864724
2010/2/3,'000001,上证指数,3003.835,3005.131,2890.021,2945.034,2934.713,69.122,2.3553,101022537,1.19E+11
